"Reporting starts","Reporting ends","Ad name","Ad delivery","Ad set name",Bid,"Bid type","Ad set budget","Ad set budget type","Last significant edit","Attribution setting",Results,"Result indicator",Reach,Impressions,Frequency,"CPM (cost per 1,000 impressions) (USD)","Cost per results",Purchases,"Quality ranking","Engagement rate ranking","Conversion rate ranking","Purchase ROAS (return on ad spend)","Amount spent (USD)",Ends
2025-11-14,2025-11-20,ASC-VK-CB,active,转化-品宣-博主-ASC,0,ABSOLUTE_OCPM,200,Daily,2025-04-27T07:35:07+0200,"7-day click or 1-day view",2,actions:offsite_conversion.fb_pixel_purchase,608,757,1.245066,6.367239,2.41,2,-,-,-,22.288382,4.82,Ongoing
2025-11-14,2025-11-20,ASC-VK-Carla,active,转化-品宣-博主-ASC,0,ABSOLUTE_OCPM,200,Daily,2025-04-27T07:35:07+0200,"7-day click or 1-day view",1,actions:offsite_conversion.fb_pixel_purchase,2163,2835,1.31068,6.091711,17.27,1,-,-,-,8.125072,17.27,Ongoing
2025-11-14,2025-11-20,DPA-ON,active,DPA-24年导入期,0,ABSOLUTE_OCPM,60,Daily,2025-11-14T03:21:43+0100,"7-day click or 1-day view",27,actions:offsite_conversion.fb_pixel_purchase,14651,53809,3.672719,7.803156,15.55111111,27,-,-,-,4.26317,419.88,Ongoing
2025-11-14,2025-11-20,ASC-VK-CB2,active,转化-品宣-博主-ASC,0,ABSOLUTE_OCPM,200,Daily,2025-04-27T07:35:07+0200,"7-day click or 1-day view",1,actions:offsite_conversion.fb_pixel_purchase,2008,2517,1.253486,7.651967,19.26,1,-,-,-,1.304777,19.26,Ongoing
2025-11-14,2025-11-20,ASC-VK-CB3,active,转化-品宣-博主-ASC,0,ABSOLUTE_OCPM,200,Daily,2025-04-27T07:35:07+0200,"7-day click or 1-day view",33,actions:offsite_conversion.fb_pixel_purchase,39767,58991,1.483416,6.463867,11.55484848,33,"Below average - Bottom 35% of ads","Above average",Average,6.229944,381.31,Ongoing
2025-11-14,2025-11-20,ASC-VK-Sara,active,转化-品宣-博主-ASC,0,ABSOLUTE_OCPM,200,Daily,2025-04-27T07:35:07+0200,"7-day click or 1-day view",3,actions:offsite_conversion.fb_pixel_purchase,15315,19834,1.29507,4.278007,28.28333333,3,-,-,-,3.014496,84.85,Ongoing
2025-11-14,2025-11-20,ASC-VK-Cabatate,active,转化-品宣-博主-ASC,0,ABSOLUTE_OCPM,200,Daily,2025-04-27T07:35:07+0200,"7-day click or 1-day view",4,actions:offsite_conversion.fb_pixel_purchase,23291,27353,1.174402,4.619969,31.5925,4,-,-,-,1.92245,126.37,Ongoing
2025-11-14,2025-11-20,ASC-VK-Paula,active,转化-品宣-博主-ASC,0,ABSOLUTE_OCPM,200,Daily,2025-04-27T07:35:07+0200,"7-day click or 1-day view",13,actions:offsite_conversion.fb_pixel_purchase,20606,32570,1.580608,7.401904,18.54461538,13,-,-,-,4.224905,241.08,Ongoing
2025-11-14,2025-11-20,ASC-VK-Klohe,active,转化-品宣-博主-ASC,0,ABSOLUTE_OCPM,200,Daily,2025-04-27T07:35:07+0200,"7-day click or 1-day view",,,6631,9113,1.374303,6.836388,,,-,-,-,,62.3,Ongoing
2025-11-14,2025-11-20,ASC-VK-Nolorenzo,active,转化-品宣-博主-ASC,0,ABSOLUTE_OCPM,200,Daily,2025-04-27T07:35:07+0200,"7-day click or 1-day view",6,actions:offsite_conversion.fb_pixel_purchase,5998,9322,1.554185,9.648144,14.99,6,-,-,-,2.755392,89.94,Ongoing
2025-11-14,2025-11-20,折扣季产品-DC,active,ES-转化-折扣季产品-目录-ASC,0,ABSOLUTE_OCPM,250,Daily,2025-11-13T04:18:32+0100,"7-day click or 1-day view",71,actions:offsite_conversion.fb_pixel_purchase,132694,386326,2.911405,3.527875,19.19591549,71,Average,"Above average",Average,2.740152,1362.91,Ongoing
2025-11-14,2025-11-20,欧珀系列-视频1,active,ES-转化-商品系列-欧珀,0,ABSOLUTE_OCPM,100,Daily,2025-02-06T06:24:36+0100,"7-day click, 1-day view, or 1-day engaged-view",7,actions:offsite_conversion.fb_pixel_purchase,22034,30628,1.390034,4.339167,18.98571429,7,-,-,-,2.966065,132.9,Ongoing
2025-11-14,2025-11-20,欧珀系列-视频2,active,ES-转化-商品系列-欧珀,0,ABSOLUTE_OCPM,100,Daily,2025-02-06T06:24:36+0100,"7-day click, 1-day view, or 1-day engaged-view",2,actions:offsite_conversion.fb_pixel_purchase,11757,15295,1.300927,3.643674,27.865,2,-,-,-,0.723668,55.73,Ongoing
2025-11-14,2025-11-20,欧珀系列-视频3,active,ES-转化-商品系列-欧珀,0,ABSOLUTE_OCPM,100,Daily,2025-02-06T06:24:36+0100,"7-day click, 1-day view, or 1-day engaged-view",1,actions:offsite_conversion.fb_pixel_purchase,3512,4139,1.178531,4.020295,16.64,1,-,-,-,3.753005,16.64,Ongoing
2025-11-14,2025-11-20,爆款系列-图4,active,ES-转化-商品系列-爆款,0,ABSOLUTE_OCPM,300,Daily,0,"7-day click, 1-day view, or 1-day engaged-view",24,actions:offsite_conversion.fb_pixel_purchase,48869,77839,1.592809,4.689937,15.21083333,24,-,-,-,4.277598,365.06,Ongoing
2025-11-14,2025-11-20,爆款系列-图6,active,ES-转化-商品系列-爆款,0,ABSOLUTE_OCPM,300,Daily,0,"7-day click, 1-day view, or 1-day engaged-view",7,actions:offsite_conversion.fb_pixel_purchase,10685,15481,1.448854,5.717977,12.64571429,7,-,-,-,5.735314,88.52,Ongoing
2025-11-14,2025-11-20,爆款系列-图7,active,ES-转化-商品系列-爆款,0,ABSOLUTE_OCPM,300,Daily,0,"7-day click, 1-day view, or 1-day engaged-view",6,actions:offsite_conversion.fb_pixel_purchase,26646,42061,1.578511,4.42096,30.99166667,6,-,-,-,1.369938,185.95,Ongoing
2025-11-14,2025-11-20,爆款系列-图9,active,ES-转化-商品系列-爆款,0,ABSOLUTE_OCPM,300,Daily,0,"7-day click, 1-day view, or 1-day engaged-view",8,actions:offsite_conversion.fb_pixel_purchase,28854,46935,1.626638,2.478747,14.5425,8,Average,Average,Average,5.112945,116.34,Ongoing
2025-11-14,2025-11-20,欧珀系列-视频4,active,ES-转化-商品系列-欧珀,0,ABSOLUTE_OCPM,100,Daily,2025-02-06T06:24:36+0100,"7-day click, 1-day view, or 1-day engaged-view",5,actions:offsite_conversion.fb_pixel_purchase,13186,19864,1.506446,3.542086,14.072,5,"Below average - Bottom 35% of ads","Above average",Average,6.801308,70.36,Ongoing
2025-11-14,2025-11-20,"爆款系列 -图12",active,ES-转化-商品系列-爆款,0,ABSOLUTE_OCPM,300,Daily,0,"7-day click, 1-day view, or 1-day engaged-view",33,actions:offsite_conversion.fb_pixel_purchase,109599,190632,1.739359,2.719428,15.70939394,33,Average,"Above average",Average,4.046855,518.41,Ongoing
2025-11-14,2025-11-20,爆款系列,active,ES-转化-商品系列-爆款,0,ABSOLUTE_OCPM,300,Daily,0,"7-day click, 1-day view, or 1-day engaged-view",1,actions:offsite_conversion.fb_pixel_purchase,9682,13762,1.421401,2.721261,37.45,1,Average,Average,Average,2.62964,37.45,Ongoing
2025-11-14,2025-11-20,爆款系列,active,ES-转化-商品系列-爆款,0,ABSOLUTE_OCPM,300,Daily,0,"7-day click, 1-day view, or 1-day engaged-view",59,actions:offsite_conversion.fb_pixel_purchase,118156,223907,1.895012,2.587592,9.82,59,-,-,-,6.401688,579.38,Ongoing
2025-11-14,2025-11-20,Top50,active,"ES-转化- ASC-Catalog Ad set",0,ABSOLUTE_OCPM,60,Daily,2025-08-21T04:41:31+0200,"7-day click, 1-day view, or 1-day engaged-view",26,actions:offsite_conversion.fb_pixel_purchase,61234,135425,2.211598,3.06834,15.98192308,26,Average,"Above average",Average,3.716122,415.53,Ongoing
