"Reporting starts","Reporting ends","Campaign name","Campaign delivery","Ad set budget","Ad set budget type","Attribution setting",Results,"Result indicator",Reach,Impressions,Frequency,"CPM (cost per 1,000 impressions) (USD)","Cost per results",Purchases,"Purchase ROAS (return on ad spend)","Amount spent (USD)",Ends
2025-11-12,2025-11-18,ES-转化-品宣-博主-ASC,active,"Using ad set budget",0,"7-day click or 1-day view",93,actions:offsite_conversion.fb_pixel_purchase,112755,229208,2.032797,6.188702,15.25268817,93,4.194974,1418.5,Ongoing
2025-11-12,2025-11-18,ES-转化-产品-目录,active,"Using ad set budget",0,"7-day click or 1-day view",83,actions:offsite_conversion.fb_pixel_purchase,102440,264873,2.58564,3.824625,12.2053012,83,4.558162,1013.04,Ongoing
2025-11-12,2025-11-18,ES-转化-折扣季产品-目录-ASC,active,"Using ad set budget",0,"7-day click or 1-day view",59,actions:offsite_conversion.fb_pixel_purchase,135054,330299,2.445681,3.575427,20.01627119,59,2.547267,1180.96,Ongoing
2025-11-12,2025-11-18,ES-转化-商品系列-欧珀,active,"Using ad set budget",0,"7-day click, 1-day view, or 1-day engaged-view",68,actions:offsite_conversion.fb_pixel_purchase,101889,186100,1.826497,3.782268,10.35117647,68,5.834745,703.88,Ongoing
2025-11-12,2025-11-18,ES-转化-商品系列-爆款,active,"Using ad set budget",0,"7-day click, 1-day view, or 1-day engaged-view",146,actions:offsite_conversion.fb_pixel_purchase,267249,716882,2.68245,2.958911,14.52869863,146,4.176745,2121.19,Ongoing
2025-11-12,2025-11-18,ES-转化-用户诉求-ASC-视频,active,"Using ad set budget",0,"7-day click, 1-day view, or 1-day engaged-view",213,actions:offsite_conversion.fb_pixel_add_to_cart,164259,220545,1.342666,4.206216,4.35521127,17,1.046062,927.66,Ongoing
2025-11-12,2025-11-18,"ES-转化- ASC-Catalog",active,"Using ad set budget",0,"7-day click, 1-day view, or 1-day engaged-view",31,actions:offsite_conversion.fb_pixel_purchase,64978,142489,2.192881,2.932998,13.48129032,31,4.516391,417.92,Ongoing
2025-11-12,2025-11-18,ES-转化-商品系列-套镜-Catalog,active,"Using ad set budget",0,"7-day click, 1-day view, or 1-day engaged-view",35,actions:offsite_conversion.fb_pixel_purchase,43463,110314,2.538113,3.168863,9.98771429,35,6.597048,349.57,Ongoing
2025-11-12,2025-11-18,ES-转化-用户画像-组1-视频,active,"Using ad set budget",0,"7-day click, 1-day view, or 1-day engaged-view",,,67733,106957,1.579097,4.577447,,25,2.600319,489.59,Ongoing
2025-11-12,2025-11-18,ES-点击-品宣,active,"Using ad set budget",0,"7-day click or 1-day view",1894,actions:landing_page_view,50736,71285,1.405018,1.967595,0.07405491,3,,140.26,Ongoing
2025-11-12,2025-11-18,ES-转化-促销季,active,"Using ad set budget",0,"7-day click, 1-day view, or 1-day engaged-view",32,actions:offsite_conversion.fb_pixel_purchase,49392,86650,1.754333,4.019388,10.88375,32,5.13248,348.28,Ongoing
2025-11-12,2025-11-18,ES-转化-品宣-PGC,active,"Using ad set budget",0,"7-day click, 1-day view, or 1-day engaged-view",529,actions:offsite_conversion.fb_pixel_add_to_cart,389042,454339,1.16784,3.166006,2.71916824,32,1.067761,1438.44,Ongoing
2025-11-12,2025-11-18,ES-转化-品宣-博主-ASC2,active,"Using ad set budget",0,"7-day click, 1-day view, or 1-day engaged-view",266,actions:offsite_conversion.fb_pixel_add_to_cart,183309,220421,1.202456,3.80118,3.14984962,24,1.733882,837.86,Ongoing
2025-11-12,2025-11-18,ES-转化-复古系列,active,"Using ad set budget",0,"7-day click, 1-day view, or 1-day engaged-view",283,actions:offsite_conversion.fb_pixel_add_to_cart,168736,249441,1.478292,3.096965,2.72971731,25,1.555436,772.51,Ongoing
2025-11-12,2025-11-18,ES-转化-豹纹系列,inactive,"Using ad set budget",0,"7-day click, 1-day view, or 1-day engaged-view",25,actions:offsite_conversion.fb_pixel_add_to_cart,9705,10825,1.115404,4.306697,1.8648,1,1.15015,46.62,Ongoing
2025-11-12,2025-11-18,ES-转化-女性力量系列,active,"Using ad set budget",0,"7-day click, 1-day view, or 1-day engaged-view",318,actions:offsite_conversion.fb_pixel_add_to_cart,82460,149225,1.809665,4.714358,2.21226415,29,2.008998,703.5,Ongoing
